userId,Father of the Bride Part II (1995),Waiting to Exhale (1995),Heat (1995),"American President, The (1995)",Grumpier Old Men (1995),Tom and Huck (1995),Balto (1995),Cutthroat Island (1995),Sabrina (1995),GoldenEye (1995),Dracula: Dead and Loving It (1995),Nixon (1995),Jumanji (1995),Toy Story (1995),Sudden Death (1995),Casino (1995)
318,3,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0
319,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
329,3,0,5,0,3,0,0,0,4,0,0,0,0,5,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
333,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
340,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
343,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
344,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
345,2,0,2.5,0,0,0,0,0,0,0,0,0,0,4.5,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
353,0,0,0,0,0,0,0,0,0,3,0,0,2,3.5,0,0
354,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0
355,0,0,4,0,0,0,0,0,0,3.5,0,0,3,3,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
358,2,0,3,3,1,0,0,0,4,0,1,0,0,5,0,0
361,0,0,0,0,4,0,0,0,3,0,3,4,0,3,3,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
367,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
375,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
380,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,4
381,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,3,0,0,5,0,0,0,0,5,0,0,0,3,3.5,0,0
383,0,0,3,0,0,0,0,0,0,0,0,3,0,5,2,0
384,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0
385,0,0,5,4,0,0,0,0,0,3,0,0,0,0,0,5
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
387,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,5,0,0,0,0,0,0,2,0,4,0,0,0,3
389,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
390,0,0,0,5,5,0,0,3,3,3,0,2,0,4,3,0
391,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
396,0,0,0,3,0,0,0,4,0,3,4,0,3,5,0,0
399,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
402,0,0,0,4.5,0,0,4.5,0,0,0,0,0,0,2,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
404,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
407,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
409,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4
410,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
412,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
413,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
416,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
418,0,0,0,0,0,0,0,0,0,2.5,0,0,2,3.5,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
421,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
425,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4.5,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
428,0,0,0,0,0,0,0,0,0,2.5,0,0,3,5,0,5
430,0,0,4,0,1.5,0,0,0,0,3.5,0,0,0,4,0,0
431,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
433,0,0,5,1.5,0,0,0,0,0,0,0,0,0,4.5,0,4.5
434,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
442,0,0,0,0,4.5,0,0,0,0,0,0,0,4,4,0,4.5
447,0,0,3,3,0,0,0,0,0,3,0,0,3,3,0,0
448,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
452,3,0,4,4,1,0,0,0,3,0,0,5,0,3.5,0,4
455,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
456,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
457,1,0,3,0,1.5,0,0,0,0,2,0,0,0,1.5,0,3.5
458,0,0,0,0,0,0,0,0,0,4,0,0,0,3.5,0,0
459,0,0,4,0,4,0,0,0,3,0,0,4,0,5,0,0
460,0,3.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
461,0,1.5,4,1.5,0,0,0,0,0.5,2,0,0,0,3.5,0,3
463,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0
464,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
468,0,0,3.5,2,2.5,0,0,0,0,3,0,0,2,4,0,3.5
470,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
471,0,0,0,0,0,0,0,0,0,4.5,0,0,3,3.5,0,0
472,0,0,3,3,0,0,0,0,2,0,0,0,0,5,0,4
473,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
475,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
481,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
484,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0
486,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
487,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0
490,0,0,5,0,0,0,0,0,0,0,0,3,0,1,4,0
491,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0
493,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0
496,0,0,5,4,3,0,0,3,0,0,0,0,4,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0,0
501,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
502,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
505,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
507,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0
508,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,3,3,2,0,0,0,0,0,0,3,0,3,0,0
510,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
511,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
514,1,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0
516,3,0,4,0,3,0,3,0,4,4,3,0,0,0,3,0
517,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
518,3,1,0,5,0,0,5,0,3,0,0,0,4,5,4,0
520,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
522,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
525,0,0,4,0,0,0,0,0,0,3,0,0,2,2,0,0
526,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
529,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
530,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
531,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
534,0,0,5,3,2,0,0,0,0,0,0,0,4,5,0,0
535,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0
537,0,0,0,3,0,0,0,0,5,0,0,0,3,5,0,0
538,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
542,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
543,3,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0
544,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
547,0,0,2.5,3,0,0,0,0,2,0,0,3.5,0,3.5,0,0
548,3,0,3,3,4,0,0,0,0,4,0,0,3,4,0,0
550,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
555,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
559,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0
560,0,0,0,0,0,0,0,0,0,4,0,0,0,4.5,0,0
561,0,0,0,0,0,0,0,0,0,3.5,0,0,3,3,0,0
562,3.5,0,4,4,0,0,0,0,0,0,0,0,0,4.5,0,0
564,3,0,1,3,3,0,4,1,3,3,1,0,4,4,0,0
568,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0
569,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0
574,0,0,5,0,3.5,0,0,0,0,3,0,0,0,4,0,0
575,0,0,0,3,0,0,0,0,4,0,0,0,4,3,0,0
577,0,0,4,0,0,0,0,0,0,3.5,0,0,0,5,0,0
580,0,0,3.5,0,0,0,0,0,0,0,3,0,3.5,4,0,0
584,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
585,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
588,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0
589,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
590,3,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0
592,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
594,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
595,0,0,0,0,0,0,5,0,0,0,0,0,2,5,0,0
596,0,0,4,0,0,0,0,0,0,3.5,0,0,0,3.5,0,0
597,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0
598,0,0,0,4,0,0,0,2,0,0,0,0,0,4.5,0,0
602,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0
603,0,0,4,0,2,0,0,0,0,0,0,0,4,4,0,0
605,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,3.5,0,0,0,3.5,3.5,0,0,3,4.5,0,0
608,0,0,5,0,0,0,0,0,0,3,0,0,0,4,0,0
614,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
615,0,0,3.5,0,0,0,0,0,0,0,0,0,0,4,0,0
616,0,0,3,0,3,0,0,0,3,0,0,0,0,4,0,0
621,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
624,3,0,0,0,3,0,0,0,0,4,2,0,3,5,0,0
627,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
633,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
639,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
640,3,0,0,0,4,0,0,0,0,0,3,2,0,0,3,0
641,4,0,4,4,3,0,0,0,4,3,0,0,4,4,0,0
644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
647,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
648,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
649,0,3,0,0,0,0,0,0,0,5,0,0,0,4,0,0
650,3,1,0,5,3,0,0,2,0,4,0,0,0,0,0,0
653,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
654,4,0,0,4.5,0,0,0,2,0,4,0,0,3,5,0,0
655,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
659,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0
660,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
662,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0
663,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
664,0,0,4,0,0,0,0,0,0,0,0,0,0,3.5,0,0
665,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
666,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
667,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
670,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
671,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0